Date/Time,100m Avg[m/s],80m Avg [m/s],50m Avg [m/s],20m Avg [m/s],10m Avg [m/s],Pressure 5m [mbar],98m WV [°],78m WV [°],48m WV [°],Temp 5m [°C],Hum 5m,100m Avg[m/s]_flag,80m Avg [m/s]_flag,50m Avg [m/s]_flag,20m Avg [m/s]_flag,10m Avg [m/s]_flag
01-12-2018 00:00,,5.17,7.12,4.82,4.14,1012.2,52,45,29.5,22.5,46.5,1,1,1,1,1
01-12-2018 00:10,,5.3,7.34,4.89,4.16,1012.15,53.4,47.8,32.3,22.35,47,1,1,1,1,1
01-12-2018 00:20,,5.32,7.39,4.81,4.16,1012.17,53.4,46.4,29.5,22.27,47.43,1,1,1,1,1
01-12-2018 00:30,,5.32,7.41,4.78,4.16,1012.15,52,46.4,30.9,22.25,47.7,1,1,1,1,1
01-12-2018 00:40,,5.35,7.37,4.81,4.16,1012.12,53.4,47.8,32.3,22.24,47.96,1,1,1,1,1
01-12-2018 00:50,,5.34,7.4,4.78,4.16,1012.08,52,46.4,33.8,22.18,48.52,1,1,1,1,1
01-12-2018 01:00,,5.29,7.18,4.69,4.16,1012.04,49.2,43.6,28.1,22.18,48.88,3,1,1,1,1
01-12-2018 01:10,,5.45,6.99,4.58,4.16,1011.96,49.2,40.8,25.3,22.24,49.06,1,1,1,1,1
01-12-2018 01:20,,5.59,6.45,3.89,4.16,1011.9,47.8,39.4,22.5,22.28,49.24,1,1,1,1,1
01-12-2018 01:30,,5.86,5.85,3.36,4.16,1011.84,47.8,35.2,23.9,22.16,49.76,1,1,1,1,1
